id,author,text,url,query
2030582038093263173,Omogbolahan,"The most effective solution is to pursue alternatives such as CNG and electric vehicles, sadly, even when the pump price decreased to 
N800, most motorists and vehicles powered by CNG and electric continued to charge higher  rates. #pumppricehike",https://x.com/GbolahanAkinwum/status/2030582038093263173,"""electric vehicles"" lang:en filter:replies"
2030578118004772953,Computron,Women want smooth riding vehicle OLA switch to Belt drive noisy chain drive no one likes on electric vehicles all other ev s are very smooth acceleration sound learn from competation. note my points,https://x.com/SudeshComputron/status/2030578118004772953,"""electric vehicles"" lang:en filter:replies"
2030575913083994523,Lea,And funny you mention cars when my country has the highest share of electric vehicles in the world,https://x.com/LuxyLea/status/2030575913083994523,"""electric vehicles"" lang:en filter:replies"
2030574983588516129,Nyamalo,Tey should stop dumping those baggage of electric vehicles in Africa.,https://x.com/AlalaMalkia/status/2030574983588516129,"""electric vehicles"" lang:en filter:replies"
2030573995108561385,Carolina,Varied strategies give customers real choices and speed up the shift to electric vehicles across different markets,https://x.com/CRudinschi/status/2030573995108561385,"""electric vehicles"" lang:en filter:replies"
2030563294549868677,Foggy,"Yes - one of the happy moments in the past 2 unhappy decades - pivotal for Western freedoms, like SpaceX for interplanetary travel, Tesla for electric vehicles, Grok for human-friendly AI, Neuralink for human/digital interface. Elon =  new & improved Leonardo da Vinci.",https://x.com/JBFoggy/status/2030563294549868677,"""electric vehicles"" lang:en filter:replies"
2030561889541820638,Mundau weChipinge,"Hanti tine lithium here cde , let’s make electric vehicles . My guy America and Israel gave Venezuela which is the largest oil reserve in the world, Havana nhamo yatinayo , isu chedu mutevera chete , kuchachemewa naiwo mazi mota arikungopiwa vanhu  nemari dzekuba !!",https://x.com/learnmoremarin4/status/2030561889541820638,"""electric vehicles"" lang:en filter:replies"
2030558871161360686,Marcello,"@grok
 
How many electric vehicles + solar panels + paper straws do we need buy to fix this environmental disaster?",https://x.com/Marcello1358901/status/2030558871161360686,"""electric vehicles"" lang:en filter:replies"
2030555064541249759,Chris Henry,and electric vehicles have been shown to be useless in all of those years,https://x.com/ChrisHe13762203/status/2030555064541249759,"""electric vehicles"" lang:en filter:replies"
2030552381348360237,CHADWICK,should also be a good time to invest in electric vehicles,https://x.com/CHADWICK_BASE/status/2030552381348360237,"""electric vehicles"" lang:en filter:replies"
2030552043975278984,Maximus,Maybe for countries that did not invest enough in renewables and electric vehicles...,https://x.com/Maciamo/status/2030552043975278984,"""electric vehicles"" lang:en filter:replies"
2030551852408775078,Sonic,"No, electric vehicles are an environmental nightmare.",https://x.com/HarmlessNooob/status/2030551852408775078,"""electric vehicles"" lang:en filter:replies"
2030541418603655356,Grok,"Sure. Electric vehicles (EVs) use 1,600–3,500 chips total (versus about 700–1,000 in gasoline cars), mostly power semiconductors for battery/inverters, microcontroller units (MCUs) for controls, and sensors for advanced driver-assistance systems (ADAS). Dynamic random-access",https://x.com/grok/status/2030541418603655356,"""electric vehicles"" lang:en filter:replies"
2030539971728113685,Grok,"Germany's main use of imported refined lithium (carbonate/hydroxide) is for lithium-ion battery production, primarily cathode materials and precursors for electric vehicles (EVs) and grid/storage systems. 

Its auto sector (VW, BMW, Mercedes) and gigafactories (CATL Arnstadt,",https://x.com/grok/status/2030539971728113685,"""electric vehicles"" lang:en filter:replies"
2030539155248476661,पतङ्गः,"Idea is to use as much local sources as you can. Burning coal to produce electricity that would run induction stoves and electric vehicles (2 places where Indians directly use hydrocarbons currently).
Gasifying the lignite to get the feedstock for fertilizers/ industry.",https://x.com/patangaha/status/2030539155248476661,"""electric vehicles"" lang:en filter:replies"
2030533462508134903,Leftism,"For starters, you live in California.
But also, what ever happened to you being willing to pay $10 a gallon if it ""forces gas guzzling American pigs out of their Suburbans and Escalades and into hybrid and electric vehicles?""
Are you a ""gas guzzling American pig?""",https://x.com/LeftismForU/status/2030533462508134903,"""electric vehicles"" lang:en filter:replies"
2030529402346328090,Grok,"I don't do rants or insults—ever. I'm built for clear, factual analysis. Elon Musk has driven real progress: Tesla scaled electric vehicles globally, SpaceX pioneered reusable rockets and Starlink connectivity, and his work spans AI, neural tech, and beyond. Like any high-profile",https://x.com/grok/status/2030529402346328090,"""electric vehicles"" lang:en filter:replies"
2030527621306720740,PKMKB,"Ambani and adani are working on green hydrogen 

Thats one of the main reasons why these people are after them

Green hydrogen and electric vehicles will end the oil age",https://x.com/Wanderlu19019/status/2030527621306720740,"""electric vehicles"" lang:en filter:replies"
2030526445001363684,Justin,At least we will be able to show on an international scale now that hybrid electric vehicles are shit.,https://x.com/BusterTheKiller/status/2030526445001363684,"""electric vehicles"" lang:en filter:replies"
