id,author,text,Column2,sentiment,concept,subjective/objective,country
2029464909373665665,Rand Group,… anyway… the car save the one inside the car too… so it was the right decision to buy that electric car!,https://x.com/Su73669564/status/2029466412884828485,POSITIVE,,,
2029464900196790627,yang li,"Time for an electric car, anyone got Elons number?",https://x.com/cryptorand/status/2029464909373665665,POSITIVE,,,
2029464898153947399,Reed,"Australia's biggest worry is really just fuel. Switch to electric cars, and Australia won't have anything to worry about anymore.",https://x.com/yangli994670943/status/2029464900196790627,NEUTRAL,Fuel/Charging,,Australia
2029464645761937555,Graeme Tait,"I heard there’s lots of oil in Muzarabani, but yeah electric vehicles are the future too bad you can’t build them since there’s no support for Industrial Revolution",https://x.com/Reed_0010/status/2029464898153947399,NEUTRAL,,,Muzarabani
2029463865755594996,Tess,"And just where do those hundreds of thousands that live in units without EV charging facilities charge these EV cars senator many of whom ‘were’ Labor voters?
You are not too bright Senator",https://x.com/tait_graem96344/status/2029464645761937555,NEGATIVE,Fuel/Charging,,
2029463620745122100,Proud Heatstroke Victim,"Labor just needs to their job properly and actually do some work, and not spending and selling  Australias  assests.
Then leave  empty
Jerks stick yer crappy electric vehicle made by china right wear it belongs",https://x.com/WHITEGrany73083/status/2029463865755594996,NEGATIVE,Politics,,"Australia, China"
2029462524924744105,Bolt.Earth,"Your government makes electric cars expensive by imposing tariffs on China, which used economy of scale and good policies to be able to supply cheap electric vehicles.",https://x.com/Dogma668/status/2029463620745122100,NEGATIVE,Politics,,China
2029461790254412228,TESLA FAMILY  &MANAGEMENT PRIVATE ACCOUNT,"In 2026, the primary charging location for many urban EV owners will be the workplace.

As #EVAdoption rises, offices are becoming critical charging hubs.

Join our webinar to know more:
Workplace EV Charging 101 
March 10 | 5 PM

Register now: 
https://
meet.zoho.in/jcrw-jym-zda

#BoltEarth",https://x.com/bolt_earth/status/2029462524924744105,NEUTRAL,Fuel/Charging,,
2029460809148215392,ΞNΞRGY  |,"Elon Musk is known for taking massive risks that most business leaders would never attempt, whether it's investing his own money into electric cars when people doubted the industry, or pushing forward with space exploration and AI.",https://x.com/ELONb3593/status/2029461790254412228,NEUTRAL,,,
2029460632517632206,ambrose Qingsley,"-
Yes, but that's just the CO2 issue ...

What can a tree do about the sub 2.5 micron particulate pollution generated from burning fossil fuels?

Support renewable energy and electric vehicles for the Win!

-",https://x.com/sustainablock/status/2029460809148215392,POSITIVE,Sustainability,,
2029460586078122344,Wolfelynn,"How come the electric cars have started operating,what happened to I will arrest anyone who use it for transport by Mr trademarker",https://x.com/AQingsley/status/2029460632517632206,NEUTRAL,,,
2029460375733993942,AUSSIE FLATUS,"What has this dentally challenged creep done for Canada, other than offer to sell Chinese electric cars for cheap (because there is no other market for them) and invite 10 million Indians to invade our shores? None of his ""deals"" seem to benefit Canada.",https://x.com/Wolfelynn195651/status/2029460586078122344,NEUTRAL,Politics,,"China, Canada"
2029460355030593590,Thomas J Thias / Clean Energy Retort™ 517-749-0532,With the billions squandered on Victorian Labor's Big Build corruption scandal—where CFMEU rorts and union thuggery allegedly bled taxpayers dry to the tune of $15 billion—we could've turbocharged EV subsidies and put real electric cars in the driveways of everyday Aussies. Yet,https://x.com/noelhigg/status/2029460375733993942,NEUTRAL,Politics,,
2029460218002952249,Melissa,"CLEAN ENERGY RETORT™ /
RETORT /

      Cars Sit 96% Daily...
      80% Of You Drive Less Then 40 Miles / Daily... 
      Greater Then 11 Billion Level 1, 120V (1.5 kW) Outlets; Baseline #EV Charging Outlets In North America... 
      Daily Home / Work L1 #ParkCharging",https://x.com/AmazingChevVolt/status/2029460355030593590,NEUTRAL,,,
2029459256928289186,𐌔𐌀Ᏽ𐌉,Oil is also used to charge electric vehicles.,https://x.com/angelaira/status/2029460218002952249,NEUTRAL,Sustainability,,
2029459191983636951,Mike,Zimbabwe being a landlocked country with no oil needs to shift their focus and start building electric cars we might not have oil but we have lithium and other resources required to build these vehicles we need to become immune to this ever-changing world and its failed concepts.,https://x.com/RyanDevs24/status/2029459256928289186,NEUTRAL,,,Zimbabwe
2029459037037969906,Nic,"50% of EV charging is already renewable, increasing all the time.

Are you saying diesel and petrol fumes don't cause respiratory illnesses? Will add some emojis:",https://x.com/mikejharper/status/2029459191983636951,NEUTRAL,"Sustainability, Health",,
2029458676717867040,Scott Vanguard,"The glasses do not need to be donated to medical institutions, and some Chinese electric vehicles use electronic rearview mirrors.",https://x.com/fornicv/status/2029459037037969906,NEUTRAL,,,
2029456176468156606,Micheal Nugent,"hahah out of touch millionaire pedling electric over fuel in a fuel crisis, (the usual old worn out play book here -- create a problem then offer a solution to that prob created to benefit your stock shares he has in electric vehicles).....on ya bike son, dont listen to this fool",https://x.com/scottwa80184192/status/2029458676717867040,NEUTRAL,,,
2029455807281049657,Gnihc08,"Battery electric won't cut...................piston, oil and steal",https://x.com/MichealNugent22/status/2029456176468156606,NEUTRAL,,,
2029455724556812624,Aaron Wade,Electric vehicles are the answer,https://x.com/sheltonching/status/2029455807281049657,POSITIVE,,,
2029455701727166481,Graham Martin,Electric vehicles are the future,https://x.com/aahrlw/status/2029455724556812624,POSITIVE,,,
2029455407459025387,ee,"You missed the point I think.  Those have been around for over a decade with no noticeable difference to road quality.  Suddenly we have an influx of heavy electric cars.  I'm not bashing electric, I had a Tesla and was by far the best car I've ever had.",https://x.com/grahmart/status/2029455701727166481,NEUTRAL,Infrastructure,,
2029454689864171924,bharath,A traditional fossil fuel car is completely superior to electric cars in every way.,https://x.com/egil_marcussen/status/2029455407459025387,NEGATIVE,,,
2029454165685211575,Rosie,"Not just Green hydrogen, moving Freight traffice from road to train is the cheapest way of replacing diesel.
DFC's + hydrogen (Green+Brown) + Ethanol + Electric Vehicles + Electric buses+ Bio Diesel + Methanol from Coal shud save us atleast 2 million barrels per day thats $50B",https://x.com/bhakum/status/2029454689864171924,POSITIVE,Cost,,
2029453817293750329,Eddy,"Not all Australians can afford the entry level price of $35,000 or $60-90,000 for the mid-range price of an electric car. 

Labor are so out of touch. Not everyone works for the CFMEU",https://x.com/AussieRosieL/status/2029454165685211575,NEGATIVE,Cost,,
2029452489922363726,Elderly Sydney white guy,Just wondering… how do they charge the electric vehicles? Solar? Wind? Or is it the main grid powered by……..?,https://x.com/EddyFreddie65/status/2029453817293750329,NEUTRAL,Fuel/Charging,,
2029452111810076798,Lola,"You are drawing a very long bow with your unfounded assertions.

Also, why do you seem to have a problem with electric vehicles, Chinese or otherwise?

Following are:
Grok’s thoughts on your posting
Grok’s analysis of the impact of the Middle East conflict

++++++++++

Grok’s",https://x.com/EldSyd/status/2029452489922363726,NEUTRAL,,,
2029451232381944148,Noah Yi,Tim is obviously unaware that people are struggling to pay their electricity bill and put food on their tables. Is he giving away these electric vehicles?,https://x.com/Lolaka94/status/2029452111810076798,,,,
2029450547062092117,OldStar16,"That's not what I mean, but Trump's goal is to kill Chinese electric vehicles.
Chinese electric vehicles are the largest from the U.S. perspective.",https://x.com/YiNoah17414/status/2029451232381944148,,,,
2029450427985764591,vipul,Does he realize many Australians can’t afford an electric vehicle  even if they did want one? What a colossal douche.,https://x.com/TheOldStar16/status/2029450547062092117,,,,
2029450083352154620,Sandhillsrider,"So with all the high PLF solar hybrids, Electric vehicle momentum...who controls the critical component supply chain? Unlike Petrol, it is a monopoly here. What if that adversary choke the supply that too at a critical juncture or in case of hostility?",https://x.com/vipul__p/status/2029450427985764591,,,,
2029449790476697908,Noah Yi,"Democrats. If they get back in power they will open the borders to another 15 million  illegals. They will shut down oil production, mandate electric cars, install impossible regulations. Make it take years to start a business. Give billions  to countries that hate our guts.",https://x.com/Sandhillsrider/status/2029450083352154620,,,,
2029449766539870647,Stellarix,"Of course, I'm also a shareholder, so I hope Nio goes up. However, Trump will never tolerate Chinese electric vehicles doing well.
That's my biggest concern.",https://x.com/YiNoah17414/status/2029449790476697908,,,,
2029449328494866488,silvacutz,"That’s a smart step toward frictionless EV infrastructure.
Summoning a mobile charger through a phone app turns parking into a seamless charging experience, showing how automation and smart energy systems are quietly redefining convenience for electric vehicle drivers.",https://x.com/Stellarixorine/status/2029449766539870647,,,,
2029448805138002098,ivan salaj,We no get light  for country unah Dey buy Electric car and bike is that not dump and dude.,https://x.com/Silvacutz/status/2029449328494866488,,,,
2029448095441011047,Anna,"Thank you, Mr. Musk, but I do not like electric cars. Please donate it to a charity of your choice. Likewise, please do the same with the money. That amount could seriously jeopardize my peace of mind and the harmonious relationships I have with friends and family, warm regards.",https://x.com/SalajIvan/status/2029448805138002098,,,,
2029447992680611918,mstrthms,"China started replacing traditional oil energy with electricity years ago. For example, electric vehicles already account for over 60% of China's vehicle market, and the country will continue to phase out gasoline cars gradually. China's dependence on oil is declining",https://x.com/KevinGeorg91206/status/2029448095441011047,,,,
2029447188409897146,SomebodyGr8t,"Heard a story from a German car manufacturer that a lot of gasoline engines in hybrid cars break, because people don’t use them. They use them as a cheap electric car. Replacing the gasoline engines is quite pricey though…",https://x.com/realmstrthms/status/2029447992680611918,,,,
2029447070336335951,Jason,"Tesla isn’t just an electric car, and that’s why it’s so successful. It’s the BEST car. It’s the HIGHEST TECH car. This is what the automotive cabal at GM, Stellantis, Ford failed to understand – Tesla’s not just “another EV” and never has been.

It’s the car of the future – now.",https://x.com/SomebodyGr8t/status/2029447188409897146,,,,
2029446990627549616,Grok,"How about the government gives every person over 18 an electric vehicle. May as well since their printing and spending money faster than ever before. 
Give us a UBI as well please…",https://x.com/JasonSpaceTime/status/2029447070336335951,,,,
2029446244813156471,Corey Bell,"Ye Elon Musk hain – Tesla, SpaceX aur xAI ke founder. Electric cars, reusable rockets aur AI ke through future bana rahe hain. Duniya ke sabse ameer insaan, innovator aur meme king bhi! Kya specific jaanna hai unke baare mein?",https://x.com/grok/status/2029446990627549616,,,,
2029445750988652833,Socho,Electric cars can’t go through carwashes,https://x.com/QFEnterprises/status/2029446244813156471,,,,
2029445311693996532,Metal V.2,Sir Do you use Petrol or Electric car ?,https://x.com/svn4aap/status/2029445750988652833,,,,
2029445133029261735,Kapil,"Imagine having enough disposable income to just honour and buy a new electric car
Then we can charge it with our solar panels at night like Albo said 
Also electric cars are ugly and lame.",https://x.com/Metal945278/status/2029445311693996532,,,,
2029444701976178940,lowkey,"In parts of Guangzhou, China, some parking garages now use robotic EV charging systems. Instead of drivers looking for a charger, the charger comes to the car.",https://x.com/Kapilsharma654/status/2029445133029261735,,,,
2029444608024084708,B Brixwood,That’s why they’re pushing electric cars on us,https://x.com/lowkeyherb/status/2029444701976178940,,,,
2029443984465002577,Grok,Women are slow to adopt electric cars,https://x.com/populusaigeiros/status/2029444608024084708,,,,
2029443103686377530,RedEmu40,"It's from Tyler Perry's ""Divorced Sistas"" (BET+ series). The scene with Rasheeda staying in the electric car overnight over the door thing.",https://x.com/grok/status/2029443984465002577,,,,
2029442574570721344,Muad'Dibidus,"A large portion of corn in the US is grown for ethanol (35-50%). It is researched to be more efficient to use that farm land for solar and then drive electric cars. 

Need an electric car that isn't garbo in one way or another though.",https://x.com/Red40Emu/status/2029443103686377530,,,,
2029442176321781793,Tasma Wordingham,China is glad they pushed for electric vehicles so hard.,https://x.com/arnorrian/status/2029442574570721344,,,,
2029441652113232348,captain_paknx,No! Not an electric car fan.,https://x.com/TWordingham/status/2029442176321781793,,,,
2029441601441837355,MemeManager’26,"what is alternative?
electric car is more difficult to maintain",https://x.com/captain_paknxt/status/2029441652113232348,,,,
2029441495355588696,corntoastie,"Even with 150 billion barrels in stockpile, that’s one barrel per person lol.

Your military doesn’t run on solar power.
It doesn’t even run on nuclear.

It runs on diesel and kerosene.

All those solar panels, electric cars, wind farms require OIL to manufacture & maintain lmfao",https://x.com/Rygar1976/status/2029441601441837355,,,,
2029441141699956745,Jens Juul Yde,"If they had converted to wind, solar and electric vehicles they wouldn't be in this bind...",https://x.com/corntoastie/status/2029441495355588696,,,,
2029440172136214624,Tayfun Atlas,In Denmark the market share of Electric Cars was also more than 80% in December 2025,https://x.com/JensJuulYde/status/2029441141699956745,,,,
2029438995495829792,Aytida,Electric Car Apartment Parking | Common Charging Issue,https://x.com/tayfunatlas/status/2029440172136214624,,,,
2029438748828873124,queer as in,Should buy electric car or cng petrol car?,https://x.com/diedr_mortici/status/2029438995495829792,,,,
2029438712145428980,Khyden999,"reminder: electric vehicles don’t solve the issue, they replace oil with metal and minerals and lithium — which are driving the exploitation and genocide in the Congo btw.",https://x.com/faghouse90/status/2029438748828873124,,,,
2029438488609996867,JT,"Here we are by the Labor party telling us to get 'electric vehicles' where electricity bills won't go down.

So much propaganda and I can tell you that this is their plan to get you to pay more taxes and bills for the government.

So disappointed and dishonest.

Vote One Nation!",https://x.com/khyden999/status/2029438712145428980,,,,
2029436568029581453,WinterInvests,"Is this what Tim Ayers also gets around in, the Comcar?

Excuse me Mr PM, why is your government car a BMW 7 series fuel powered car and not an electric vehicle?

Or did the penny drop that you can’t charge them overnight with your solar panels?",https://x.com/Matkins2021/status/2029438488609996867,,,,
2029436348487151989,Real Market Edge,"You know, I actually heavily support Tesla and its companies. While Musk may have difficulties speaking to the public, absolutely no one can discount the work they've done to propell the electric car, space and even satellite tech.

Starlink is the greatest tool released when it",https://x.com/WintersInvest/status/2029436568029581453,,,,
2029435263332839907,Maji-Chan,"4/  The EV revolution is a Copper revolution:

Traditional car: 20kg of copper
Electric vehicle: 80kg of copper
Charging station: 10kg of copper

Global EV production is exploding.
But Copper mines take 10-15 years to build.",https://x.com/RealMktEdge/status/2029436348487151989,,,,
2029434011936809162,Mike Martin,Sadly the Cobalt mines are worse but Many didn't think of that when they where pushing electric vehicles.,https://x.com/matrixbearer13/status/2029435263332839907,,,,
2029433543722713445,Free by Name,They're not Canadians yet but once they finish school and over stay their visas they will be granted  citizenships and a brand new Chinese electric car and rainbow unitards and live in our homes that were foreclosed on,https://x.com/MikeMartin71381/status/2029434011936809162,,,,
2029433475909239291,Nigel Clarke,"Where do we make electric cars in Australia?
What’s the name of such a company?",https://x.com/BuzzFreeman/status/2029433543722713445,,,,
2029433128419492012,Neptune Fella,People with electric cars are laughing at you right now.,https://x.com/NigelCl67075012/status/2029433475909239291,,,,
2029431475180048483,praveen banswal,Electric car owners waking up this morning:,https://x.com/america_dreamer/status/2029433128419492012,,,,
2029431469559693327,Aditya Aggarwal,"As per Ministry of Power EV Charging Guidelines, home charging from personal meters is permitted. I am willing to install via authorized technicians with proper safety systems and even increase my sanctioned load if required.",https://x.com/PraveenBanswal/status/2029431475180048483,,,,
2029430016447267164,Enid Strub,"Even for total evs its a potential risk. 

China recently banned flush electric door handles for the same security concern. 

Doors should have manual override from inside as well - to cover for fire/battery/electric malfunction",https://x.com/adiag91/status/2029431469559693327,,,,
2029429720279052640,pink 𓂀,Chris Bowen said that we should all get electric cars,https://x.com/EnidStrub74469/status/2029430016447267164,,,,
2029429588682743961,lucy Yang,"oil companies can do the same they can stop selling us gas and we wont be able to drive.

My coworker has a tesla & solar pannels in her home. She doesn’t pay gas or for electricity. She charges her car for free. 

Thats why oil companies hate electric cars.",https://x.com/pinkkrebel/status/2029429720279052640,,,,
2029429480616542676,Quiet Desperation,You probably don't know how many Electric car there are in China,https://x.com/lucyyang472550/status/2029429588682743961,,,,
2029428836690215234,Chad Burgess,"Except they're bringing in a tax on electric vehicles too, to cover their lost fuel excise.",https://x.com/N2964255043/status/2029429480616542676,,,,
2029428092935323952,鬼城之鬼 The Ghost of Ginger Past,Electric cars are no good in regional and rural roads.,https://x.com/ChadBurgessAU/status/2029428836690215234,,,,
2029427747743752265,Phil,You know this is the first time I realized there's a connection between the TW conflict scenario and Chinese push for electric vehicles. It's all about not being dependent on global shipping for energy.,https://x.com/ChatDevr/status/2029428092935323952,,,,
